,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4048,19.614331516737245,100.0,1990.0,100.0,19.42498,-99.16867,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,14.0,1.0,0.0,4.14,3.86,4.79,4.57,4.71,5.0,3.71,10.0,4.0,0.0,0.0,0.23
4180,18.307538576940082,100.0,2100.0,97.0,19.42444,-99.16786,2.0,1.0,1.0,1.0,360,1.0,1.0,1125.0,1125.0,1.0,1125.0,,28,58,88,303,1.0,1.0,0.0,3.0,5.0,5.0,5.0,4.8,5.0,4.0,5.0,3.0,1.0,0.0,0.18
4340,19.614331516737245,100.0,750.0,100.0,19.33819,-99.17682,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,0,0,0,0,13.0,0.0,0.0,4.62,4.62,4.69,4.69,4.62,4.85,4.62,5.0,1.0,2.0,0.0,0.24
4376,19.614331516737245,100.0,871.0,100.0,19.41718,-99.17406,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,15,42,72,72,16.4,2.9,3.0,4.79,4.86,4.81,4.88,4.84,4.95,4.82,3.0,0.0,0.0,0.0,0.4
4439,19.614331516737245,100.0,762.0,100.0,19.416353,-99.175163,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,14,44,74,74,16.4,2.9,0.2,4.79,4.94,4.9,4.98,4.87,4.97,4.79,3.0,0.0,0.0,0.0,0.4
4510,19.614331516737245,100.0,1000.0,100.0,19.33937,-99.17681,4.0,1.0,2.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,0,0,0,59,44.0,4.0,0.0,4.77,4.73,4.8,4.91,4.84,4.89,4.64,5.0,1.0,2.0,0.0,0.8
4659,18.74313622353914,100.0,783.0,98.0,19.40101,-99.2,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,26,56,86,356,44.0,21.0,2.0,4.93,4.91,4.84,4.93,4.91,4.95,4.77,2.0,0.0,1.0,0.0,0.79
4749,12.209171524553312,71.0,1999.0,83.0,19.36071,-99.18928,6.0,1.0,5.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,2,32,62,337,4.0,0.0,0.0,3.5,3.75,4.8,4.8,4.8,4.9,3.5,14.0,1.0,10.0,0.0,0.08
4913,19.614331516737245,100.0,1900.0,100.0,19.39599,-99.17262,2.0,1.0,1.0,1.0,50,1.0,1.0,50.0,50.0,1.0,50.0,,29,59,89,364,0.0,0.0,0.0,3.5,3.75,4.8,4.8,4.8,4.9,3.5,20.0,0.0,1.7,0.0,0.08
4915,19.614331516737245,100.0,1900.0,100.0,19.39599,-99.17262,2.0,1.0,1.0,1.0,40,1.0,1.0,40.0,40.0,1.0,40.0,,30,60,90,365,0.0,0.0,0.0,3.5,3.75,4.8,4.8,4.8,4.9,3.5,20.0,0.0,1.7,0.0,0.08
5041,11.773573877954256,98.0,1168.0,82.0,19.43646,-99.13123,4.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,0,0,0,100,10.0,0.0,0.0,4.6,4.7,5.0,4.8,5.0,5.0,4.8,9.7,1.7,0.0,0.0,0.19
5049,11.773573877954256,98.0,3797.0,82.0,19.43646,-99.13123,8.0,2.0,2.0,1.0,1125,1.0,4.0,1125.0,1125.0,3.8,1125.0,,4,33,63,329,10.0,0.0,0.0,4.5,4.8,4.8,4.8,4.6,4.5,4.6,9.7,1.7,0.0,0.0,0.19
5185,19.614331516737245,99.0,1488.0,100.0,19.41092,-99.16882,2.0,1.0,1.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,2,10,12,51,141.0,2.9,3.0,4.94,4.95,4.98,4.84,4.91,5.0,4.9,21.0,19.0,1.0,0.0,2.62
5471,19.614331516737245,100.0,410.0,100.0,19.40307,-99.1705,2.0,1.0,1.0,3.0,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,19,45,74,303,16.4,33.0,3.0,4.78,4.94,4.88,4.94,4.89,4.93,4.84,4.0,0.0,2.0,0.0,0.4
5597,12.209171524553312,100.0,450.0,83.0,19.42512,-99.22236,1.0,1.0,1.0,1.0,360,1.0,1.0,360.0,360.0,1.0,360.0,,21,51,81,356,36.0,11.0,0.0,4.64,4.72,4.56,4.86,4.56,5.0,4.69,7.0,0.0,6.0,0.0,0.96
5653,19.614331516737245,100.0,914.0,100.0,19.45618,-99.17889,6.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,22,51,81,295,5.0,1.0,0.0,3.8,4.0,4.6,4.2,4.2,4.4,3.4,12.0,0.0,0.0,0.0,0.1
5660,19.614331516737245,100.0,650.0,100.0,19.45618,-99.17889,4.0,1.0,2.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,12,42,72,287,1.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,12.0,0.0,0.0,0.0,0.07
5679,19.614331516737245,100.0,914.0,100.0,19.45618,-99.17889,4.0,1.0,2.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,24,53,83,266,8.0,1.0,0.0,4.25,4.38,4.38,4.13,4.25,4.25,4.38,12.0,0.0,0.0,0.0,0.16
5681,19.614331516737245,100.0,1200.0,100.0,19.45618,-99.17889,4.0,1.0,2.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,20,49,79,293,6.0,0.0,0.0,3.83,4.0,4.67,4.5,4.17,4.17,4.17,12.0,0.0,0.0,0.0,0.12
5682,19.614331516737245,100.0,686.0,100.0,19.45618,-99.17889,4.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,21,51,81,296,7.0,1.0,1.0,4.57,4.71,4.43,5.0,5.0,4.86,4.71,12.0,0.0,0.0,0.0,0.15
5683,19.614331516737245,100.0,893.0,100.0,19.45702,-99.17842,3.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,24,53,83,266,4.0,2.0,0.0,4.0,3.75,4.0,4.0,4.0,4.9,4.0,12.0,0.0,0.0,0.0,0.1
5684,19.614331516737245,100.0,650.0,100.0,19.45618,-99.17889,2.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,0,0,0,141,3.0,0.0,0.0,3.33,4.8,4.8,4.8,3.33,4.9,4.7,12.0,0.0,0.0,0.0,0.18
5688,19.614331516737245,100.0,893.0,100.0,19.45618,-99.17889,2.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,25,55,85,269,10.0,2.0,0.0,4.5,4.6,4.7,4.4,4.6,4.4,4.3,12.0,0.0,0.0,0.0,0.58
5689,19.614331516737245,100.0,893.0,100.0,19.45618,-99.17889,3.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,28,58,88,271,1.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,4.7,12.0,0.0,0.0,0.0,0.02
5690,19.614331516737245,100.0,590.0,100.0,19.45618,-99.17889,2.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,0,0,0,0,2.0,0.0,0.0,4.0,4.0,5.0,4.0,4.8,4.0,4.5,12.0,0.0,0.0,0.0,0.05
5692,19.614331516737245,100.0,836.0,100.0,19.45618,-99.17889,4.0,1.0,2.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,26,55,85,299,3.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,12.0,0.0,0.0,0.0,0.26
5694,19.614331516737245,100.0,893.0,100.0,19.45618,-99.17889,2.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,27,57,87,271,15.0,2.0,0.0,4.6,4.8,4.33,4.93,4.73,4.8,4.47,12.0,0.0,0.0,0.0,0.3
5803,19.614331516737245,100.0,1104.0,100.0,19.41741,-99.1749,4.0,2.0,2.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,20,50,80,170,16.4,2.9,0.2,4.79,4.91,4.91,4.97,4.77,4.97,4.85,3.0,0.0,0.0,0.0,0.4
5813,19.614331516737245,100.0,1994.0,100.0,19.42429,-99.17142,2.0,2.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,334,3.0,0.0,0.0,4.67,4.67,5.0,5.0,5.0,5.0,4.67,10.0,4.0,0.0,0.0,0.09
5818,8.724390351760867,100.0,1190.0,75.0,19.36973,-99.18815,2.0,1.0,1.0,1.0,152,1.0,1.0,152.0,152.0,1.0,152.0,,27,57,87,362,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.02
5873,19.614331516737245,100.0,2818.0,100.0,19.43333,-99.13457,2.0,1.0,1.0,1.0,370,1.0,1.0,370.0,370.0,1.0,370.0,,13,31,61,317,7.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,0.0,0.0,0.22
5894,19.614331516737245,100.0,2729.0,100.0,19.34856,-99.16461,4.0,1.0,2.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,13,27,57,279,25.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,4.96,5.0,7.0,0.0,5.0,0.0,0.51
6039,19.614331516737245,100.0,332.0,100.0,19.44028,-99.14596,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,94,7.0,1.0,0.0,4.43,4.71,4.29,4.86,4.86,4.57,4.43,21.0,4.0,2.0,0.1,0.14
6041,19.614331516737245,100.0,305.0,100.0,19.44114,-99.14458,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,94,67.0,3.0,0.0,4.63,4.88,4.34,4.94,4.9,4.84,4.73,21.0,4.0,2.0,0.1,1.37
6118,19.614331516737245,100.0,230.0,100.0,19.33961,-99.14962,2.0,1.0,1.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,30,60,90,365,35.0,22.0,0.2,4.54,4.57,4.09,4.77,4.71,4.89,4.71,1.0,0.0,0.0,0.0,0.81
6136,19.614331516737245,100.0,291.0,100.0,19.43965,-99.14448,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,56,86,89,22.0,5.0,0.0,4.5,4.77,4.23,4.91,4.59,4.68,4.59,21.0,4.0,2.0,0.1,0.45
6137,19.614331516737245,100.0,291.0,100.0,19.44077,-99.14593,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,94,69.0,9.0,0.0,4.58,4.68,4.36,4.74,4.61,4.75,4.62,21.0,4.0,2.0,0.1,1.4
6138,19.614331516737245,100.0,291.0,100.0,19.44062,-99.14394,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,94,63.0,16.0,3.0,4.62,4.75,4.44,4.86,4.62,4.68,4.68,21.0,4.0,2.0,0.1,1.28
6141,19.614331516737245,100.0,332.0,100.0,19.4395,-99.14378,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,29,59,89,92,46.0,18.0,0.0,4.83,4.91,4.67,4.91,4.91,4.85,4.87,21.0,4.0,2.0,0.1,0.94
6142,8.724390351760867,100.0,890.0,75.0,19.37109,-99.18977,2.0,1.0,1.0,1.0,600,1.0,1.0,600.0,600.0,1.0,600.0,,0,0,0,271,2.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.05
6151,19.614331516737245,100.0,352.0,100.0,19.44056,-99.14384,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,24,54,84,88,100.0,2.9,0.0,4.62,4.65,4.43,4.82,4.78,4.8,4.66,21.0,4.0,2.0,0.1,2.07
6188,19.614331516737245,100.0,1200.0,100.0,19.43606,-99.19521,4.0,2.0,2.0,3.0,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,0,0,0,0,0.0,0.0,0.0,4.62,4.65,4.43,4.82,4.78,4.8,4.66,14.0,13.0,0.0,0.0,2.07
6270,8.724390351760867,100.0,880.0,75.0,19.37099,-99.18776,2.0,1.0,1.0,1.0,600,1.0,1.0,600.0,600.0,1.0,600.0,,0,0,0,240,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.02
6271,8.724390351760867,100.0,790.0,75.0,19.37123,-99.18814,2.0,1.0,1.0,1.0,700,1.0,1.0,700.0,700.0,1.0,700.0,,29,59,89,364,5.0,1.0,1.0,5.0,5.0,5.0,5.0,4.8,5.0,5.0,5.0,0.0,0.0,0.0,0.11
