,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6606,17.00074563714292,100.0,1914.0,94.0,19.43047,-99.13786,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,23,53,83,260,20.0,4.0,0.0,4.7,4.7,4.85,4.85,4.75,5.0,4.7,1.0,0.0,0.0,0.0,0.43
6617,15.258355050746694,100.0,881.0,90.0,19.38649,-99.1749,1.0,1.0,1.0,1.0,7,1.0,1.0,7.0,7.0,1.0,7.0,,30,60,90,180,4.0,1.0,0.0,4.25,4.25,4.5,4.75,4.5,4.5,4.25,3.0,0.0,1.0,0.0,0.09
6658,19.614331516737245,100.0,332.0,100.0,19.44368,-99.14494,1.0,1.0,1.0,1.0,500,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,94,3.0,1.0,0.0,4.0,4.0,4.67,5.0,5.0,5.0,4.0,21.0,4.0,2.0,0.1,0.07
6661,13.515964464350475,100.0,2206.0,86.0,19.41081,-99.1781,3.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,1.1,365.0,,23,43,69,276,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,3.0,2.0,0.0,0.23
6669,13.515964464350475,100.0,2382.0,86.0,19.40958,-99.17637,3.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,1.1,365.0,,19,39,64,273,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,3.0,2.0,0.0,0.23
6672,13.515964464350475,100.0,2382.0,86.0,19.41162,-99.17829,2.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,1.1,365.0,,14,41,71,280,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,3.0,2.0,0.0,0.03
6673,13.515964464350475,100.0,2382.0,86.0,19.41083,-99.1783,4.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,1.1,365.0,,29,51,72,290,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,3.0,2.0,0.0,0.02
6709,19.614331516737245,100.0,388.0,100.0,19.44331,-99.14511,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,94,10.0,2.0,0.0,4.9,5.0,4.6,5.0,5.0,4.9,4.9,21.0,4.0,2.0,0.1,0.22
6720,19.614331516737245,100.0,332.0,100.0,19.44258,-99.1431,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,94,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,4.0,2.0,0.1,0.04
6752,13.515964464350475,100.0,2882.0,86.0,19.41008,-99.17827,3.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,1.9,365.0,,29,59,89,307,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,3.0,2.0,0.0,0.04
